,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-08-25,33.740002,34.709999,33.290001,34.34,SHOP,0,42ef4d78-2b79-11ed-9c43-f9cbb89e80a5
1,2022-08-26,34.369999,34.59,31.799999,32.419998,SHOP,-0.35,42ef4d78-2b79-11ed-9c43-f9cbb89e80a5
2,2022-08-29,31.76,33.200001,31.76,31.940001,SHOP,-4.19,42ef4d78-2b79-11ed-9c43-f9cbb89e80a5
3,2022-08-30,32.470001,32.91,30.530001,31.360001,SHOP,-0.88,42ef4d78-2b79-11ed-9c43-f9cbb89e80a5
4,2022-08-31,31.98,33.349998,31.34,31.65,SHOP,1.32,42ef4d78-2b79-11ed-9c43-f9cbb89e80a5
5,2022-09-01,30.940001,31.360001,29.820999,31.27,SHOP,-6.35,42ef4d78-2b79-11ed-9c43-f9cbb89e80a5
6,2022-09-02,31.799999,31.99,29.860001,30.110001,SHOP,1.97,42ef4d78-2b79-11ed-9c43-f9cbb89e80a5
