,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-08-25,93.139999,97.57,93.139999,97.18,AMD,0,416c9b14-2b79-11ed-8a91-f9cbb89e80a5
1,2022-08-26,96.290001,97.599998,91.120003,91.18,AMD,0.03,416c9b14-2b79-11ed-8a91-f9cbb89e80a5
2,2022-08-29,90.050003,91.190002,88.260002,88.489998,AMD,-7.03,416c9b14-2b79-11ed-8a91-f9cbb89e80a5
3,2022-08-30,90.059998,90.150002,85.339996,86.940002,AMD,-1.15,416c9b14-2b79-11ed-8a91-f9cbb89e80a5
4,2022-08-31,86.279999,86.720001,83.720001,84.870003,AMD,-3.96,416c9b14-2b79-11ed-8a91-f9cbb89e80a5
5,2022-09-01,82.349998,82.760002,78.519997,82.330002,AMD,-4.78,416c9b14-2b79-11ed-8a91-f9cbb89e80a5
6,2022-09-02,83.32,83.650002,79.809998,80.239998,AMD,1.06,416c9b14-2b79-11ed-8a91-f9cbb89e80a5
