,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-08-25,115.150002,117.779999,115.050003,117.699997,GOOG,0,41a35b41-2b79-11ed-8cdf-f9cbb89e80a5
1,2022-08-26,115.809998,116.599998,111.220001,111.300003,GOOG,-1.01,41a35b41-2b79-11ed-8cdf-f9cbb89e80a5
2,2022-08-29,110.779999,111.959999,109.809998,110.339996,GOOG,-4.14,41a35b41-2b79-11ed-8cdf-f9cbb89e80a5
3,2022-08-30,111.029999,111.370003,108.800003,109.910004,GOOG,-0.53,41a35b41-2b79-11ed-8cdf-f9cbb89e80a5
4,2022-08-31,111.629997,111.769997,109.050003,109.150002,GOOG,0.36,41a35b41-2b79-11ed-8cdf-f9cbb89e80a5
5,2022-09-01,109.199997,111.220001,108.190002,110.550003,GOOG,-0.49,41a35b41-2b79-11ed-8cdf-f9cbb89e80a5
6,2022-09-02,111.339996,111.675003,108.134003,108.68,GOOG,0.41,41a35b41-2b79-11ed-8cdf-f9cbb89e80a5
