,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-08-25,168.779999,170.139999,168.350006,170.029999,AAPL,0,40480590-2b79-11ed-84bb-f9cbb89e80a5
1,2022-08-26,170.570007,171.050003,163.559998,163.619995,AAPL,0.53,40480590-2b79-11ed-84bb-f9cbb89e80a5
2,2022-08-29,161.149994,162.899994,159.820007,161.380005,AAPL,-5.0,40480590-2b79-11ed-84bb-f9cbb89e80a5
3,2022-08-30,162.130005,162.559998,157.720001,158.910004,AAPL,-0.21,40480590-2b79-11ed-84bb-f9cbb89e80a5
4,2022-08-31,160.309998,160.580002,157.139999,157.220001,AAPL,-1.23,40480590-2b79-11ed-84bb-f9cbb89e80a5
5,2022-09-01,156.639999,158.419998,154.669998,157.960007,AAPL,-1.36,40480590-2b79-11ed-84bb-f9cbb89e80a5
6,2022-09-02,159.75,160.360001,154.970001,155.809998,AAPL,1.21,40480590-2b79-11ed-84bb-f9cbb89e80a5
