,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-08-25,3.52,3.74,3.28,3.69,AZ,0,439b2389-2b79-11ed-a543-f9cbb89e80a5
1,2022-08-26,3.6,3.707,3.36,3.584,AZ,-0.89,439b2389-2b79-11ed-a543-f9cbb89e80a5
2,2022-08-29,3.42,3.57,3.39,3.54,AZ,-3.84,439b2389-2b79-11ed-a543-f9cbb89e80a5
3,2022-08-30,3.6,3.6,3.28,3.48,AZ,0.83,439b2389-2b79-11ed-a543-f9cbb89e80a5
4,2022-08-31,3.2,3.73,3.2,3.68,AZ,3.49,439b2389-2b79-11ed-a543-f9cbb89e80a5
5,2022-09-01,3.65,3.65,3.29,3.3,AZ,-2.19,439b2389-2b79-11ed-a543-f9cbb89e80a5
6,2022-09-02,3.3,3.52,3.3,3.52,AZ,-3.69,439b2389-2b79-11ed-a543-f9cbb89e80a5
